ID,url,exclamation_count,words_to_avoid_count,smart_words_count,h1_count,h2_count, div_count,iframe_count,a_count,img_count,p_count,span_count,button_count,input_count,form_count,script_count,meta_count,link_count,style_count,text_longer_than_50_characters_count,text_longer_than_100_characters_count,text_longer_than_150_characters_count,text_longer_than_200_characters_count,http_references,https_references,total_code_length,ylt_DOMelementsCount,ylt_DOMelementMaxDepth,ylt_scriptDuration,ylt_jsErrors,ylt_cssColors,ylt_cssDuplicatedProperties,ylt_totalWeight,ylt_domains,ylt_compression,ylt_totalRequests,ylt_heavyFonts,ylt_global_score,ylt_badJavascript_score,ylt_jQuery_score,ylt_serverConfig_score
4,https://edition.cnn.com/2021/09/06/asia/taliban-afghanistan-pregnant-policewoman-murder-intl/index.html,13,15,14,1,1,387,4,275,5,89,50,39,2,67,44,61,12,6662,5088,3635,3153,1,43,1391368,27,1818,24,10995,0,112,479,3402031,39,458049,138,36064,13,97,70,40
5,https://edition.cnn.com/2021/09/06/americas/columbus-statue-indigenous-woman-mexico-city-cec/index.html,4,11,0,1,0,210,3,253,7,11,4,2,2,59,44,61,3,2571,2231,1967,1485,1,23,1218772,5,1887,24,9422,0,112,479,3548487,39,458831,134,41216,19,97,70,42
6,https://edition.cnn.com/2021/09/06/entertainment/stanley-tucci-cancer/index.html,8,9,14,1,2,401,4,271,6,90,51,39,2,75,44,63,12,4370,2852,1035,844,2,45,1677485,28,1926,24,6949,0,117,587,4748839,41,598947,163,54200,22,97,70,35
7,https://edition.cnn.com/2021/09/06/world/perseverance-rover-mars-sample-helicopter-scn/index.html,11,11,4,1,1,295,3,256,14,17,5,2,2,77,44,63,14,5319,4572,4203,3667,1,22,1411311,6,1967,24,9686,0,113,542,3988747,42,594764,156,36064,14,97,70,33
8,https://www.bbc.com/news/av/world-asia-india-58498881,10,2,1,1,4,246,1,104,15,203,7,0,0,47,22,4,3,1657,493,379,220,0,55,266009,24,2053,24,1002,0,19,16,1275281,17,49244,56,134516,82,100,100,69
9,https://www.bbc.com/news/world-asia-58495112,25,16,10,1,8,334,0,118,17,151,5,0,0,56,30,4,4,9109,7341,6374,4588,0,71,266709,66,2085,22,967,0,19,19,1484116,14,60651,60,131076,83,100,100,81
10,https://www.bbc.com/news/uk-58507436,34,15,3,1,10,300,1,126,12,141,6,0,0,59,30,4,4,4730,3646,2688,1482,0,73,242706,47,2031,22,824,0,19,20,1138799,16,60647,60,82432,83,100,100,74
11,https://www.bbc.com/news/world-asia-china-58511173,31,12,8,1,10,300,1,114,13,136,5,0,0,59,30,5,4,4534,3558,2157,944,0,69,241425,49,2001,22,684,0,19,21,1146468,16,60775,59,82432,84,100,100,75
12,https://www.bbc.com/news/science-environment-58507100,16,31,5,1,8,292,0,113,18,146,5,0,0,56,30,4,4,6108,4945,3276,2258,0,71,252454,51,2012,22,560,0,19,20,1335932,14,58696,59,159872,85,100,100,81
13,https://www.usmagazine.com/entertainment/pictures/bachelor-in-paradise-couples-that-are-still-together-pics/,19,11,18,1,0,347,5,133,42,196,53,24,0,59,35,29,6,9965,6168,4253,4087,0,149,451042,49,682,0,1295,0,137,56,1485230,14,321073,63,0,76,99,100,94
